time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-07-11 09:30:00-04:00,EnhancedElliottWaveStrategy,b9d3840fb8f848e0a661131b06907983,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 09:30:00-04:00,EnhancedElliottWaveStrategy,b9d3840fb8f848e0a661131b06907983,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,58786.14453125,0.03402162220277644,0.0
2024-07-11 09:34:00-04:00,EnhancedElliottWaveStrategy,ed2a8b2fe4754f9489ea08a989b4dcb8,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 09:34:00-04:00,EnhancedElliottWaveStrategy,ed2a8b2fe4754f9489ea08a989b4dcb8,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,58830.44921875,0.033995488341989004,0.0
2024-07-11 10:00:00-04:00,EnhancedElliottWaveStrategy,898c4d5cf24d48d6b4311f83e1b6f305,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 10:00:00-04:00,EnhancedElliottWaveStrategy,898c4d5cf24d48d6b4311f83e1b6f305,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,58543.62109375,0.033995488341989004,0.0
2024-07-11 10:01:00-04:00,EnhancedElliottWaveStrategy,92a17cc7033a467e8f58d2b8a4bb27fe,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 10:01:00-04:00,EnhancedElliottWaveStrategy,92a17cc7033a467e8f58d2b8a4bb27fe,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,58543.62109375,0.034162048090790195,0.0
2024-07-11 10:02:00-04:00,EnhancedElliottWaveStrategy,854bae8fe06a47f086032b4119110886,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 10:02:00-04:00,EnhancedElliottWaveStrategy,854bae8fe06a47f086032b4119110886,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,58543.62109375,0.03416204807802545,0.0
2024-07-11 10:05:00-04:00,EnhancedElliottWaveStrategy,4fc3f4e73a4b443fb97a62204d332868,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 10:05:00-04:00,EnhancedElliottWaveStrategy,4fc3f4e73a4b443fb97a62204d332868,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,58639.91796875,0.034104830718921314,0.0
2024-07-11 10:06:00-04:00,EnhancedElliottWaveStrategy,a30a4541445c46f5b22b03f71d760c7a,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
